title,identifier,content,is_active,stores
Header Contact Info,et_header_contact_info,"<div class=""header-contact-block"">
    <div class=""item"">
        <span class=""icon-block"">
            <em class=""fa fa-phone""></em>
        </span>
        <span class=""text-block"">
            Call Us Now
            <a href=""tel:+123456789"">(123) 4567-890</a>
        </span>
    </div>
</div>",1,0
Header Top Promotion Block,et_top_header_promotion,"Etrend Lite - Free Responsive Magento 2 Theme.<a href=""http://demo4techies.com/etrend/mage/lite"" class=""action primary"">Check Now</a>",1,0
Footer Top Newsletter,et_footer_top_newsletter,"<div class=""top-newsletter"">
    <div class=""page-main"">
        <div class=""section-title"">
            <span>Latest From <i>Etrend</i></span>
        </div>
        <div class=""section-content"">
            <p>
                Subscribe to our newsletter to get exclusive discounts and new theme launches right in your inbox.
            </p>
            {{block class=""Magento\Newsletter\Block\Subscribe"" name=""theme.form.subscribe"" as=""theme.form.subscribe"" template=""Magento_Newsletter::subscribe.phtml""}}
        </div>
    </div>
</div>",1,0
Footer Get in Touch,et_footer_contact_info,"<div class=""title"">
    Get in Touch
</div>
<div class=""content"">
    <div class=""add-item"">
        <div class=""icon"">
            <i class=""fa fa-map-marker""></i>
        </div>
        <div class=""text"">
            <strong>Address</strong>
            <p>123 Street, City, London</p>
        </div>
    </div>
    <div class=""add-item"">
        <div class=""icon"">
            <i class=""fa fa-phone""></i>
        </div>
        <div class=""text"">
            <strong>Phone</strong>
            <p>(123) 456 7890</p>
        </div>
    </div>
    <div class=""add-item"">
        <div class=""icon"">
            <i class=""fa fa-envelope""></i>
        </div>
        <div class=""text"">
            <strong>Mail Us</strong>
            <p>mail@example.com</p>
        </div>
    </div>
</div>",1,0
Footer My Account,et_footer_my_account,"<div class=""title"">
    My Account
</div>
<div class=""content"">
    <ul>
        <li>
            <a href=""{{store url='customer/account'}}"">My Account</a>
        </li>
        <li>
            <a href=""{{store url='customer/account'}}"">Login</a>
        </li>
        <li>
            <a href=""{{store url='checkout/cart'}}"">Shopping Cart</a>
        </li>
        <li>
            <a href=""{{store url='wishlist'}}"">My Wishlist</a>
        </li>
        <li>
            <a href=""#"">Track Order</a>
        </li>
        <li>
            <a href=""#"">Return Policy</a>
        </li>
    </ul>
</div>",1,0
Footer Quick Links,et_footer_quicklinks,"<div class=""title"">
    Quick Links
</div>
<div class=""content"">
    <ul>
        <li>
            <a href=""{{store url='privacy-policy-cookie-restriction-mode'}}"">
                Privacy and Cookie Policy
            </a>
        </li>
        <li>
            <a href=""{{store url='search/term/popular'}}"">
                Search Terms
            </a>
        </li>
        <li>
            <a href=""{{store url='contact'}}"">
                Contact Us
            </a>
        </li>
        <li>
            <a href=""{{store url='sales/guest/form'}}"">
                Orders and Returns
            </a>
        </li>
        <li>
            <a href=""{{store url='catalogsearch/advanced'}}"" data-action=""advanced-search"">
                Advanced Search
            </a>
        </li>
    </ul>
</div>",1,0
Footer Customer Services,et_footer_customer_services,"<div class=""title"">
    Customer Services
</div>
<div class=""content"">
    <ul>
        <li>
            <a href=""tel:1234567890"">Phone: +123-456-7890</a>
        </li>
        <li>
            <a href=""#"">Live Chat</a>
        </li>
        <li>
            <a href=""#"">About Us</a>
        </li>
        <li>
            <a href=""#"">Terms & Condition</a>
        </li>
        <li>
            <a href=""#"">Customer Relation</a>
        </li>
        <li>
            <a href=""#"">Privacy Policy</a>
        </li>
    </ul>
</div>",1,0
Footer Copyright Text,et_footer_copyright,"<p class=""copyright-text"">copyright &copy; Etrend 2020. All right reserved.</p>",1,0
Payment Icons,et_payment_icons,"<ul class=""payment-icons"">
    <li><img src=""{{media url='etrend/payment/amex.png'}}"" alt=""Amex"" /></li>
    <li><img src=""{{media url='etrend/payment/mastercard.png'}}"" alt=""Master Card"" /></li>
    <li><img src=""{{media url='etrend/payment/paypal.png'}}"" alt=""Paypal"" /></li>
    <li><img src=""{{media url='etrend/payment/visa.png'}}"" alt=""Visa"" /></li>
</ul>",1,0
Home slider,et_home_slider,"<div class=""slider-wrapper"">
    <div class=""content-main "">
        <div id=""home-slider"" class=""slides owl-carousel owl-theme"">
            <div class=""item"" style="" background: url({{media url='bannerslider/image/slide1.jpg'}}) center center no-repeat; background-size: cover; background-repeat: no-repeat;"">
                <a class=""banner-link"" href=""#"" title=""Slide 1""></a>
                <img class=""slide-hidden-img"" src=""{{media url='bannerslider/image/slide1.jpg'}}"" alt=""Slide 1"">
                <div class=""slide-content  page-main"">
                    <div class=""text-content left"">
                        <h2>
                            Up to <span>40%</span><br>
                            <strong>DISCOUNT</strong><br>
                            on Fashion<br>
                            Brands
                        </h2>
                        <a href=""#"" class=""action primary"">Shop Now</a> 
                    </div>
                </div>
            </div>
            <div class=""item"" style="" background: url({{media url='bannerslider/image/slide2.jpg'}}) center center no-repeat; background-size: cover; background-repeat: no-repeat;"">
                <img class=""slide-hidden-img"" src=""{{media url='bannerslider/image/slide2.jpg'}}"" alt=""Slide 2"">
                <div class=""slide-content  page-main"">
                    <div class=""text-content right"">
                        <h2>
                            Up to <span>40%</span><br>
                            <strong>DISCOUNT</strong><br>
                            on Fashion<br>
                            Brands
                        </h2>
                        <a href=""#"" class=""action primary"">Shop Now</a>
                    </div>
                </div>
            </div>
            <div class=""item"" style="" background: url({{media url='bannerslider/image/slide3.jpg'}}) center center no-repeat; background-size: cover; background-repeat: no-repeat;"">
                <img class=""slide-hidden-img"" src=""{{media url='bannerslider/image/slide3.jpg'}}"" alt=""Slide 3"">
                <div class=""slide-content  page-main"">
                    <div class=""text-content right"">
                        <h2>
                            Up to <span>40%</span><br>
                            <strong>DISCOUNT</strong><br>
                            on Fashion<br>
                            Brands
                        </h2>
                        <a href=""#"" class=""action primary"">Shop Now</a>
                    </div>
                </div>
            </div>
        </div>
    </div>
</div>",1,0
